Date,^NDX_DCA,TQQQ_DCA,Invested,NoRebalance,MonthlyRebal,^NDX,TQQQ_real,TQQQ_sim,TQQQ_combined,^NDX_anchored,TQQQ_combined_anchored
2019-08-26,5212228.707286422,12542574.493360562,407000.0,10099126.14234736,20629632.221700884,7575.02001953125,6.926955699920654,6.427429125156665,6.926955699920654,67549.67059711339,271987.17206132313
2019-08-27,5206042.696216644,12466938.52153431,407000.0,10046640.155124934,20540309.618009932,7566.02978515625,6.885183811187744,6.404455125980968,6.885183811187744,67469.50085907227,270346.9973034198
2019-08-28,5221091.1122396365,12592278.10732054,407000.0,10135216.021333123,20694996.23732343,7587.89990234375,6.954405784606934,6.459903698105637,6.954405784606934,67664.525982191,273065.00065300165
2019-08-29,5299814.587461327,13164948.491937308,407000.0,10543237.452616429,21415603.2812772,7702.31005859375,7.27067756652832,6.752020754183801,7.27067756652832,68684.76993504197,285483.4238816328
2019-08-30,5292032.349007641,13072025.432739703,407000.0,10478694.664162103,21305611.995050758,7691.0,7.219358444213867,6.722183009784905,7.219358444213867,68583.91333922149,283468.3766436178
2019-09-03,5236960.452447933,12692683.608431244,408000.0,10207442.804960897,20822754.473031424,7609.509765625,7.009305000305176,6.508414336427526,7.009305000305176,67857.23031069883,275220.62039030134
2019-09-04,5312485.063778402,13226498.80827717,408000.0,10588494.490578022,21506679.962065686,7719.25,7.3040947914123535,6.789906436591566,7.3040947914123535,68835.83058689188,286795.55245413823
2019-09-05,5411099.073210375,13956980.266434966,408000.0,11108353.486889457,22436299.024586122,7862.5400390625,7.707489967346191,7.167928902175807,7.707489967346191,70113.60871996121,302634.87897483207
2019-09-06,5404216.947273557,13918081.686905934,408000.0,11080127.057490615,22384634.738379546,7852.5400390625,7.686008930206299,7.140479678671612,7.686008930206299,70024.43447299824,301791.4252560952
2019-09-09,5390356.25154524,13829472.12329144,408000.0,11016433.780679885,22269352.94385523,7832.39990234375,7.637075901031494,7.085438956652565,7.637075901031494,69844.83632043566,299870.0680535651
2019-09-10,5378202.645648907,13714929.022027388,408000.0,10936020.50779209,22127970.47582737,7814.740234375,7.573821544647217,7.0374140497900255,7.573821544647217,69687.35756116272,297386.3834078389
2019-09-11,5428331.9434394725,14084493.590414409,408000.0,11199106.663294801,22598598.78238274,7887.580078125,7.777906894683838,7.23409986992147,7.777906894683838,70336.9013826934,305399.8022342711
2019-09-12,5448812.988927617,14259550.582121173,408000.0,11322638.34474789,22817201.522266854,7917.33984375,7.874578952789307,7.3158819691054715,7.874578952789307,70602.28185163379,309195.63417553145
2019-09-13,5432027.725717457,14108267.5829597,408000.0,11216187.919753596,22629498.39913092,7892.9501953125,7.7910356521606445,7.24816985177696,7.7910356521606445,70384.78899832322,305915.30338275345
2019-09-16,5404127.560286292,13913757.415861484,408000.0,11077214.414324066,22379786.863646507,7852.41015625,7.683620929718018,7.136384293710444,7.683620929718018,70023.27625279843,301697.6603284956
2019-09-17,5429164.653794523,14097460.359239189,408000.0,11208028.746367473,22613884.0335978,7888.7900390625,7.785067558288574,7.2354728734510365,7.785067558288574,70347.691118239,305680.9659558691
2019-09-18,5429006.378339629,14088818.72493151,408000.0,11202214.898061277,22604223.007240944,7888.56005859375,7.780295372009277,7.234739577477378,7.780295372009277,70345.64028472731,305493.5858848993
2019-09-19,5438111.417512387,14151492.160478488,408000.0,11247032.203269128,22684835.75610142,7901.7900390625,7.814905643463135,7.271039450407646,7.814905643463135,70463.61763929087,306852.5594751472
